customer_id,arm,propensity_score,predicted_label,contacted,contact_date,label_window_start,label_window_end,converted,conversion_date
KH022435,A,0.9165,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-07-15
KH020376,A,0.9594,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-07-21
KH021465,A,0.9143,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-09-25
KH021939,A,0.9674,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-07-24
KH022970,A,0.9839,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-07-02
KH020242,A,0.3058,1,1,2025-07-08,2025-07-01,2025-09-30,1,2025-08-07
KH021160,A,0.9947,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-07-21
KH021250,A,0.9508,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-07-22
KH023080,A,0.4809,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-08-18
KH021895,A,0.9574,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-08-11
KH021900,A,0.5228,1,1,2025-07-12,2025-07-01,2025-09-30,0,
KH024388,A,0.9915,1,1,2025-07-15,2025-07-01,2025-09-30,1,2025-08-16
KH020314,A,0.3764,1,1,2025-07-14,2025-07-01,2025-09-30,0,
KH023592,A,0.9082,1,1,2025-07-07,2025-07-01,2025-09-30,0,
KH020211,A,0.3557,1,1,2025-07-09,2025-07-01,2025-09-30,0,
KH021020,A,0.8329,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-09-11
KH024079,A,0.5761,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-09-27
KH022860,A,0.428,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-07-09
KH020035,A,0.9904,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-09-22
KH024691,A,0.4806,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-09-09
KH022762,A,0.9782,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-08-16
KH021159,A,0.5133,1,1,2025-07-03,2025-07-01,2025-09-30,0,
KH024539,A,0.636,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-07-04
KH024371,A,0.6696,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-08-23
KH022972,A,0.8123,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-09-01
KH024067,A,0.9902,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-08-03
KH023078,A,0.9633,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-07-14
KH021333,A,0.7929,1,1,2025-07-15,2025-07-01,2025-09-30,0,
KH021316,A,0.9914,1,1,2025-07-08,2025-07-01,2025-09-30,1,2025-08-31
