customer_id,observation_date,age,gender,province,tenure_months,has_mobile_banking,num_products,has_loan,salary_mean_12m,salary_std_12m,salary_cv_12m,salary_min_12m,salary_max_12m,salary_trend_12m,salary_delay_rate_12m,has_term_deposit,term_deposit_count,term_deposit_total,term_deposit_interest_annual,has_savings_account,savings_avg_balance_12m,savings_min_balance_avg,savings_trend_12m,total_income_proxy,bills_electric_avg,bills_water_avg,bills_internet_avg,bills_total_avg,bills_to_income_ratio,edu_spend_avg,entertainment_avg,grocery_spend_avg,dining_spend_avg,shopping_spend_avg,transport_spend_avg,total_shopping_avg,transfer_avg,total_spend_avg,discretionary_spend_avg,essential_spend_ratio,spend_to_income_ratio,monthly_surplus_avg,cashflow_volatility,months_negative_balance,overdraft_rate,high_spend_months,end_month_shortfall_avg,spending_acceleration,savings_rate_avg,wealth_accumulation,edu_spend_trend,large_transfer_count,large_transfer_avg,income_jump_detected,lifestyle_inflation
KH000000,2023-06-30,29,M,HN,13,1,5,1,16952178.0,286773.0,0.0169,16221931.0,18553756.0,48759.0,0.0382,1,2,88614571.0,5846868.0,0,0.0,0.0,882778.0,209273009.0,413148.0,160859.0,423209.0,997216.0,0.0588,1058666.0,497517.0,3033183.0,1665600.0,3864385.0,1199643.0,9762811.0,0.0,12316210.0,11318994.0,0.081,0.7265,4635968.0,2287006.0,1,0.0833,1,0.0,-0.000539,0.2735,0.4356,23457.0,1,16957964.0,0.0042,0.7271
KH000001,2023-06-30,32,F,OTHER,6,0,4,0,12422120.0,544910.0,0.0439,10935479.0,13976046.0,-36516.0,0.0236,1,3,82405251.0,4166158.0,1,31827937.0,12365335.0,137813.0,153231601.0,515439.0,191070.0,342451.0,1048960.0,0.0844,922571.0,1743655.0,1148827.0,1885934.0,690814.0,718261.0,4443836.0,0.0,8159022.0,7110062.0,0.1286,0.6568,4263098.0,1949035.0,2,0.1667,2,0.0,-0.002667,0.3432,0.7663,9565.0,2,37154954.0,0.0539,-0.1666
KH000002,2023-06-30,30,F,HCM,22,0,4,0,18037177.0,955511.0,0.053,16840904.0,19635638.0,-5574.0,0.0383,1,1,64758489.0,4026810.0,0,0.0,0.0,701793.0,220472936.0,379578.0,155068.0,225714.0,760360.0,0.0422,1013648.0,646420.0,2423838.0,2564984.0,2603844.0,431118.0,8023784.0,0.0,10444212.0,9683852.0,0.0728,0.579,7592965.0,2447321.0,2,0.1667,2,0.0,-0.005678,0.421,0.2992,10280.0,0,0.0,0.044,0.3848
KH000003,2023-06-30,35,F,HCM,36,1,5,0,29023882.0,529471.0,0.0182,27203181.0,30422537.0,-127985.0,0.0189,1,3,335327588.0,17671349.0,0,0.0,0.0,60949.0,365957934.0,336643.0,163241.0,256378.0,756262.0,0.0261,671468.0,366819.0,773300.0,1168124.0,446733.0,504436.0,2892593.0,0.0,4687142.0,3930880.0,0.1613,0.1615,24336740.0,11773406.0,0,0.0,2,0.0,-0.002855,0.8385,0.9628,5963.0,1,17940998.0,0.0671,0.5648
KH000004,2023-06-30,44,F,OTHER,26,0,5,0,11922939.0,604149.0,0.0507,11408057.0,12491877.0,-118645.0,0.1076,0,0,0.0,0.0,0,0.0,0.0,-73833.0,143075271.0,631068.0,171729.0,288444.0,1091241.0,0.0915,21440.0,1715203.0,1201755.0,1152866.0,2665689.0,572062.0,5592372.0,0.0,8420256.0,7329015.0,0.1296,0.7062,3502683.0,709002.0,2,0.1667,1,0.0,-0.000612,0.2938,0.0,3344.0,2,39149692.0,0.1554,0.0265
KH000005,2023-06-30,28,M,HCM,9,1,5,0,11760152.0,536746.0,0.0456,11388889.0,13983868.0,-336506.0,0.0996,0,0,0.0,0.0,0,0.0,0.0,-1273907.0,141121821.0,678545.0,80814.0,297355.0,1056714.0,0.0899,146789.0,1223937.0,1244386.0,237062.0,1587252.0,637174.0,3705874.0,0.0,6133314.0,5076600.0,0.1723,0.5215,5626838.0,1031301.0,1,0.0833,1,0.0,0.002085,0.4785,0.0,99954.0,2,29952238.0,0.1588,0.3945
KH000006,2023-06-30,43,M,OTHER,6,0,3,0,30215766.0,773221.0,0.0256,25913555.0,33825274.0,1947.0,0.0055,1,3,180789216.0,9976071.0,0,0.0,0.0,-507864.0,372565263.0,705124.0,114320.0,232141.0,1051585.0,0.0348,342028.0,1638343.0,808959.0,311245.0,3220702.0,615516.0,4956422.0,0.0,7988378.0,6936793.0,0.1316,0.2644,22227388.0,6261604.0,2,0.1667,0,0.0,-0.002672,0.7356,0.4986,-42059.0,0,0.0,0.013,0.1512
KH000007,2023-06-30,28,F,OTHER,37,1,1,0,19339647.0,541819.0,0.028,16676271.0,23108689.0,55125.0,0.0309,0,0,0.0,0.0,0,0.0,0.0,-69976.0,232075759.0,577982.0,68019.0,298472.0,944473.0,0.0488,24452.0,1161622.0,1743944.0,1319960.0,1622060.0,91513.0,4777477.0,0.0,6908024.0,5963551.0,0.1367,0.3572,12431623.0,4809656.0,2,0.1667,2,0.0,-0.000851,0.6428,0.0,-87199.0,0,0.0,0.0962,0.0078
KH000008,2023-06-30,28,M,HN,9,1,1,1,10807794.0,173293.0,0.016,9320417.0,11807677.0,-65426.0,0.0186,1,3,37516527.0,2198987.0,0,0.0,0.0,144708.0,131892518.0,314774.0,58933.0,246694.0,620401.0,0.0574,66818.0,1420076.0,3503158.0,2346386.0,1412201.0,1383226.0,8644971.0,1280267.0,12032533.0,11412132.0,0.0516,1.1133,-1224739.0,231681.0,9,0.75,8,-1079692.0,-0.009093,-0.1133,0.2893,48897.0,2,33502325.0,0.2219,0.6433
KH000009,2023-06-30,41,M,HN,6,1,5,0,17489591.0,1038519.0,0.0594,16439853.0,19331874.0,230001.0,0.0441,0,0,0.0,0.0,0,0.0,0.0,-129448.0,209875095.0,383570.0,110757.0,307446.0,801773.0,0.0458,181182.0,984243.0,1323951.0,813711.0,2269378.0,302485.0,4709525.0,0.0,6676723.0,5874950.0,0.1201,0.3818,10812868.0,4990677.0,2,0.1667,2,0.0,0.001943,0.6182,0.0,-77919.0,1,9260708.0,0.0187,0.3181
