customer_id,observation_date,age,gender,province,tenure_months,has_mobile_banking,num_products,has_loan,salary_mean_12m,salary_std_12m,salary_cv_12m,salary_min_12m,salary_max_12m,salary_trend_12m,salary_delay_rate_12m,has_term_deposit,term_deposit_count,term_deposit_total,term_deposit_interest_annual,has_savings_account,savings_avg_balance_12m,savings_min_balance_avg,savings_trend_12m,total_income_proxy,bills_electric_avg,bills_water_avg,bills_internet_avg,bills_total_avg,bills_to_income_ratio,edu_spend_avg,entertainment_avg,grocery_spend_avg,dining_spend_avg,shopping_spend_avg,transport_spend_avg,total_shopping_avg,transfer_avg,total_spend_avg,discretionary_spend_avg,essential_spend_ratio,spend_to_income_ratio,monthly_surplus_avg,cashflow_volatility,months_negative_balance,overdraft_rate,high_spend_months,end_month_shortfall_avg,spending_acceleration,savings_rate_avg,wealth_accumulation,edu_spend_trend,large_transfer_count,large_transfer_avg,income_jump_detected,lifestyle_inflation
KH010000,2023-12-31,41,F,DN,16,0,1,0,14573502.0,572841.0,0.0393,13291632.0,15507944.0,65323.0,0.0193,0,0,0.0,0.0,0,0.0,0.0,313289.0,174882022.0,387210.0,192100.0,210184.0,789494.0,0.0542,596935.0,370415.0,1267480.0,1103751.0,1848636.0,133142.0,4353009.0,1299336.0,7409189.0,6619695.0,0.1066,0.5084,7164313.0,1893685.0,2,0.1667,2,0.0,1e-06,0.4916,0.0,-40926.0,1,14896388.0,0.0568,-0.2331
KH010001,2023-12-31,30,M,HN,44,1,3,0,18279432.0,886655.0,0.0485,17574833.0,18990903.0,-86731.0,0.0094,0,0,0.0,0.0,0,0.0,0.0,-130787.0,219353183.0,728869.0,76336.0,317276.0,1122481.0,0.0614,310688.0,1323514.0,1026166.0,661929.0,2176133.0,821690.0,4685918.0,0.0,7442601.0,6320120.0,0.1508,0.4072,10836831.0,2225133.0,2,0.1667,2,0.0,0.001774,0.5928,0.0,7531.0,0,0.0,0.0139,0.8031
KH010002,2023-12-31,35,M,OTHER,7,1,3,0,10095825.0,629220.0,0.0623,9305446.0,10849490.0,-138083.0,0.0084,0,0,0.0,0.0,0,0.0,0.0,325264.0,121149903.0,321015.0,65847.0,224834.0,611696.0,0.0606,653861.0,1500297.0,910642.0,1185932.0,3173181.0,634877.0,5904632.0,0.0,8670486.0,8058790.0,0.0705,0.8588,1425339.0,502227.0,2,0.1667,1,0.0,0.00418,0.1412,0.0,66309.0,1,17700791.0,0.3238,0.4266
KH010003,2023-12-31,32,M,OTHER,13,0,1,1,17059465.0,182881.0,0.0107,14524791.0,17833824.0,375885.0,0.0469,1,3,131291112.0,8507382.0,0,0.0,0.0,368562.0,213220957.0,455397.0,147668.0,359504.0,962569.0,0.0564,1257543.0,988136.0,1657867.0,1482138.0,4287009.0,420177.0,7847191.0,0.0,11055439.0,10092870.0,0.0871,0.6481,6004026.0,2332452.0,0,0.0,1,0.0,0.004153,0.3519,0.6413,-9339.0,1,8989700.0,0.1091,0.8631
KH010004,2023-12-31,31,M,HCM,8,1,3,0,16496523.0,176653.0,0.0107,14469082.0,16852612.0,36239.0,0.036,1,1,149771369.0,6526088.0,1,21536085.0,9261213.0,-143142.0,204484365.0,247651.0,92859.0,210009.0,550519.0,0.0334,283449.0,1162209.0,2191548.0,1528693.0,2340076.0,221217.0,6281534.0,0.0,8277711.0,7727192.0,0.0665,0.5018,8218812.0,1635430.0,1,0.0833,0,0.0,0.001132,0.4982,0.8654,62445.0,0,0.0,0.0076,0.7784
KH010005,2023-12-31,34,F,HP,6,1,2,0,4836582.0,185399.0,0.0383,4681077.0,5584037.0,86062.0,0.026,1,1,23323428.0,1534262.0,1,12200461.0,5347033.0,489928.0,59573241.0,214697.0,139383.0,179913.0,533993.0,0.1104,929913.0,316127.0,2622706.0,566334.0,5690014.0,508158.0,9387212.0,0.0,11167245.0,10633252.0,0.0478,2.3089,-6330663.0,1117401.0,7,0.5833,3,-5839129.0,-0.007335,-1.3089,0.6121,20928.0,2,28830132.0,0.057,0.7286
KH010006,2023-12-31,31,M,OTHER,26,0,3,0,15208650.0,860410.0,0.0566,14527370.0,16112017.0,50735.0,0.0409,0,0,0.0,0.0,0,0.0,0.0,446139.0,182503796.0,787537.0,73050.0,372471.0,1233058.0,0.0811,16983.0,1675393.0,1861369.0,1406641.0,4358617.0,289464.0,7916091.0,4025188.0,14866713.0,13633655.0,0.0829,0.9775,341937.0,52308.0,1,0.0833,6,0.0,-0.00038,0.0225,0.0,15621.0,0,0.0,0.051,-0.1214
KH010007,2023-12-31,27,F,CT,40,1,2,0,5911792.0,246315.0,0.0417,5745636.0,6716076.0,293168.0,0.0309,1,1,13445718.0,842526.0,0,0.0,0.0,864398.0,71784032.0,713953.0,196682.0,352982.0,1263617.0,0.2137,1394746.0,830161.0,2373488.0,1191244.0,2459759.0,597419.0,6621910.0,0.0,10110434.0,8846817.0,0.125,1.7102,-4198642.0,1961843.0,9,0.75,7,-4869017.0,-0.006769,-0.7102,0.1895,92040.0,1,10359064.0,0.0036,0.114
KH010008,2023-12-31,31,M,DN,6,0,4,0,29447308.0,2133468.0,0.0725,27847421.0,33160475.0,-128491.0,0.0561,0,0,0.0,0.0,0,0.0,0.0,-135361.0,353367693.0,537385.0,118350.0,242261.0,897996.0,0.0305,261714.0,1359624.0,1146857.0,877333.0,4709794.0,877191.0,7611175.0,0.0,10130509.0,9232513.0,0.0886,0.344,19316799.0,8086173.0,2,0.1667,1,0.0,-0.001361,0.656,0.0,-50376.0,0,0.0,0.0948,0.8112
KH010009,2023-12-31,47,M,HP,49,1,5,0,9247666.0,139193.0,0.0151,8328615.0,10312057.0,-127187.0,0.0066,0,0,0.0,0.0,0,0.0,0.0,-211696.0,110971997.0,257104.0,89144.0,286537.0,632785.0,0.0684,131149.0,793047.0,1622262.0,2035642.0,841890.0,460840.0,4960634.0,0.0,6517615.0,5884830.0,0.0971,0.7048,2730051.0,1099141.0,2,0.1667,0,0.0,0.004444,0.2952,0.0,-56658.0,0,0.0,0.0251,-0.1111
KH010010,2023-12-31,31,F,HN,69,1,2,0,15179969.0,887486.0,0.0585,13751294.0,17270853.0,-194958.0,0.0235,0,0,0.0,0.0,0,0.0,0.0,-62214.0,182159633.0,501679.0,89764.0,299089.0,890532.0,0.0587,785496.0,197108.0,2332205.0,1127216.0,1666519.0,317603.0,5443543.0,0.0,7316679.0,6426147.0,0.1217,0.482,7863290.0,3666175.0,0,0.0,0,0.0,0.002897,0.518,0.0,-69005.0,5,79625594.0,0.1408,0.4054
KH010011,2023-12-31,31,M,HCM,17,0,3,0,23384988.0,675738.0,0.0289,21139901.0,27806476.0,14509.0,0.0949,0,0,0.0,0.0,0,0.0,0.0,-926288.0,280619856.0,407014.0,149924.0,353795.0,910733.0,0.0389,23750.0,598936.0,1700343.0,1855350.0,3655751.0,590705.0,7802149.0,2146989.0,11482557.0,10571824.0,0.0793,0.491,11902431.0,3541112.0,2,0.1667,0,0.0,0.002367,0.509,0.0,-26259.0,2,37257827.0,0.0535,0.3014
KH010012,2023-12-31,42,F,HCM,35,1,5,0,8054282.0,172090.0,0.0214,7105993.0,9467158.0,-194691.0,0.0219,0,0,0.0,0.0,1,13352826.0,7585598.0,596783.0,96651381.0,516436.0,105440.0,330081.0,951957.0,0.1182,20016.0,494816.0,1535389.0,1728040.0,2257106.0,218705.0,5739240.0,332614.0,7538643.0,6586686.0,0.1263,0.936,515639.0,159293.0,1,0.0833,11,0.0,-0.002323,0.064,0.1382,-73724.0,1,6870336.0,0.1762,0.4619
KH010013,2023-12-31,39,M,CT,16,0,4,1,8098795.0,446304.0,0.0551,7450704.0,8833636.0,-20703.0,0.0068,1,2,79277552.0,5220249.0,1,22611490.0,13435056.0,277326.0,102405787.0,476785.0,132354.0,260972.0,870111.0,0.1074,210451.0,1858939.0,646115.0,404086.0,3396749.0,459686.0,4906636.0,0.0,7846137.0,6976026.0,0.1109,0.9688,252658.0,86913.0,0,0.0,10,0.0,0.000836,0.0312,1.0484,-49880.0,2,27370070.0,0.1168,0.6526
KH010014,2023-12-31,38,M,DN,19,1,4,0,9903585.0,612865.0,0.0619,9458097.0,11231498.0,388812.0,0.1671,0,0,0.0,0.0,0,0.0,0.0,-749695.0,118843019.0,722782.0,198444.0,348804.0,1270030.0,0.1282,69235.0,497779.0,1356782.0,1061326.0,1852741.0,123983.0,4394832.0,0.0,6231876.0,4961846.0,0.2038,0.6293,3671709.0,876013.0,0,0.0,0,0.0,0.00298,0.3707,0.0,46746.0,5,81019663.0,0.1057,0.6511
KH010015,2023-12-31,29,F,HN,8,0,2,0,30282606.0,2128322.0,0.0703,27538996.0,31016263.0,-52851.0,0.013,0,0,0.0,0.0,0,0.0,0.0,-481195.0,363391272.0,643126.0,95034.0,191927.0,930087.0,0.0307,237289.0,1336997.0,2348862.0,1044901.0,804368.0,474024.0,4672155.0,0.0,7176528.0,6246441.0,0.1296,0.237,23106078.0,6894070.0,2,0.1667,0,0.0,0.004859,0.763,0.0,96424.0,5,48947733.0,0.0114,0.146
