customer_id,label_window_start,label_window_end,converted
KH000000,2023-07-01,2023-09-30,1
KH000001,2023-07-01,2023-09-30,0
KH000002,2023-07-01,2023-09-30,0
KH000003,2023-07-01,2023-09-30,1
KH000004,2023-07-01,2023-09-30,1
KH000005,2023-07-01,2023-09-30,1
KH000006,2023-07-01,2023-09-30,1
KH000007,2023-07-01,2023-09-30,0
KH000008,2023-07-01,2023-09-30,0
KH000009,2023-07-01,2023-09-30,1
KH000010,2023-07-01,2023-09-30,1
KH000011,2023-07-01,2023-09-30,1
KH000012,2023-07-01,2023-09-30,0
KH000013,2023-07-01,2023-09-30,0
KH000014,2023-07-01,2023-09-30,0
KH000015,2023-07-01,2023-09-30,0
KH000016,2023-07-01,2023-09-30,0
KH000017,2023-07-01,2023-09-30,1
KH000018,2023-07-01,2023-09-30,1
KH000019,2023-07-01,2023-09-30,0
KH000020,2023-07-01,2023-09-30,1
KH000021,2023-07-01,2023-09-30,1
KH000022,2023-07-01,2023-09-30,1
KH000023,2023-07-01,2023-09-30,1
KH000024,2023-07-01,2023-09-30,0
KH000025,2023-07-01,2023-09-30,1
KH000026,2023-07-01,2023-09-30,1
KH000027,2023-07-01,2023-09-30,1
KH000028,2023-07-01,2023-09-30,0
KH000029,2023-07-01,2023-09-30,1
KH000030,2023-07-01,2023-09-30,1
KH000031,2023-07-01,2023-09-30,1
KH000032,2023-07-01,2023-09-30,1
KH000033,2023-07-01,2023-09-30,1
KH000034,2023-07-01,2023-09-30,0
KH000035,2023-07-01,2023-09-30,0
KH000036,2023-07-01,2023-09-30,1
KH000037,2023-07-01,2023-09-30,1
KH000038,2023-07-01,2023-09-30,0
KH000039,2023-07-01,2023-09-30,1
KH000040,2023-07-01,2023-09-30,1
KH000041,2023-07-01,2023-09-30,1
KH000042,2023-07-01,2023-09-30,1
KH000043,2023-07-01,2023-09-30,0
KH000044,2023-07-01,2023-09-30,1
KH000045,2023-07-01,2023-09-30,0
KH000046,2023-07-01,2023-09-30,0
KH000047,2023-07-01,2023-09-30,0
KH000048,2023-07-01,2023-09-30,0
KH000049,2023-07-01,2023-09-30,1
KH000050,2023-07-01,2023-09-30,1
KH000051,2023-07-01,2023-09-30,1
KH000052,2023-07-01,2023-09-30,0
KH000053,2023-07-01,2023-09-30,0
KH000054,2023-07-01,2023-09-30,1
KH000055,2023-07-01,2023-09-30,1
KH000056,2023-07-01,2023-09-30,1
KH000057,2023-07-01,2023-09-30,0
KH000058,2023-07-01,2023-09-30,1
KH000059,2023-07-01,2023-09-30,1
KH000060,2023-07-01,2023-09-30,0
KH000061,2023-07-01,2023-09-30,1
KH000062,2023-07-01,2023-09-30,1
KH000063,2023-07-01,2023-09-30,1
KH000064,2023-07-01,2023-09-30,0
KH000065,2023-07-01,2023-09-30,1
KH000066,2023-07-01,2023-09-30,1
KH000067,2023-07-01,2023-09-30,1
KH000068,2023-07-01,2023-09-30,1
KH000069,2023-07-01,2023-09-30,1
KH000070,2023-07-01,2023-09-30,0
KH000071,2023-07-01,2023-09-30,1
KH000072,2023-07-01,2023-09-30,1
KH000073,2023-07-01,2023-09-30,1
KH000074,2023-07-01,2023-09-30,1
KH000075,2023-07-01,2023-09-30,0
KH000076,2023-07-01,2023-09-30,0
KH000077,2023-07-01,2023-09-30,0
KH000078,2023-07-01,2023-09-30,1
KH000079,2023-07-01,2023-09-30,0
KH000080,2023-07-01,2023-09-30,1
KH000081,2023-07-01,2023-09-30,0
KH000082,2023-07-01,2023-09-30,1
KH000083,2023-07-01,2023-09-30,0
KH000084,2023-07-01,2023-09-30,1
KH000085,2023-07-01,2023-09-30,1
KH000086,2023-07-01,2023-09-30,0
KH000087,2023-07-01,2023-09-30,0
KH000088,2023-07-01,2023-09-30,1
KH000089,2023-07-01,2023-09-30,1
KH000090,2023-07-01,2023-09-30,0
KH000091,2023-07-01,2023-09-30,0
KH000092,2023-07-01,2023-09-30,0
KH000093,2023-07-01,2023-09-30,0
KH000094,2023-07-01,2023-09-30,0
KH000095,2023-07-01,2023-09-30,1
KH000096,2023-07-01,2023-09-30,1
KH000097,2023-07-01,2023-09-30,1
KH000098,2023-07-01,2023-09-30,0
KH000099,2023-07-01,2023-09-30,1
KH000100,2023-07-01,2023-09-30,1
KH000101,2023-07-01,2023-09-30,1
KH000102,2023-07-01,2023-09-30,0
KH000103,2023-07-01,2023-09-30,1
KH000104,2023-07-01,2023-09-30,1
KH000105,2023-07-01,2023-09-30,1
KH000106,2023-07-01,2023-09-30,1
KH000107,2023-07-01,2023-09-30,1
KH000108,2023-07-01,2023-09-30,1
KH000109,2023-07-01,2023-09-30,1
KH000110,2023-07-01,2023-09-30,1
KH000111,2023-07-01,2023-09-30,1
KH000112,2023-07-01,2023-09-30,1
KH000113,2023-07-01,2023-09-30,1
KH000114,2023-07-01,2023-09-30,1
KH000115,2023-07-01,2023-09-30,1
KH000116,2023-07-01,2023-09-30,1
KH000117,2023-07-01,2023-09-30,1
KH000118,2023-07-01,2023-09-30,0
KH000119,2023-07-01,2023-09-30,1
KH000120,2023-07-01,2023-09-30,1
KH000121,2023-07-01,2023-09-30,0
KH000122,2023-07-01,2023-09-30,1
KH000123,2023-07-01,2023-09-30,0
KH000124,2023-07-01,2023-09-30,0
KH000125,2023-07-01,2023-09-30,1
KH000126,2023-07-01,2023-09-30,1
KH000127,2023-07-01,2023-09-30,0
KH000128,2023-07-01,2023-09-30,0
KH000129,2023-07-01,2023-09-30,0
KH000130,2023-07-01,2023-09-30,1
KH000131,2023-07-01,2023-09-30,0
KH000132,2023-07-01,2023-09-30,1
KH000133,2023-07-01,2023-09-30,1
KH000134,2023-07-01,2023-09-30,0
KH000135,2023-07-01,2023-09-30,0
KH000136,2023-07-01,2023-09-30,0
KH000137,2023-07-01,2023-09-30,0
KH000138,2023-07-01,2023-09-30,1
KH000139,2023-07-01,2023-09-30,0
KH000140,2023-07-01,2023-09-30,1
KH000141,2023-07-01,2023-09-30,1
KH000142,2023-07-01,2023-09-30,0
KH000143,2023-07-01,2023-09-30,1
KH000144,2023-07-01,2023-09-30,1
KH000145,2023-07-01,2023-09-30,1
KH000146,2023-07-01,2023-09-30,0
KH000147,2023-07-01,2023-09-30,1
KH000148,2023-07-01,2023-09-30,0
KH000149,2023-07-01,2023-09-30,1
KH000150,2023-07-01,2023-09-30,0
KH000151,2023-07-01,2023-09-30,1
KH000152,2023-07-01,2023-09-30,1
KH000153,2023-07-01,2023-09-30,1
KH000154,2023-07-01,2023-09-30,1
KH000155,2023-07-01,2023-09-30,1
KH000156,2023-07-01,2023-09-30,1
KH000157,2023-07-01,2023-09-30,1
KH000158,2023-07-01,2023-09-30,1
KH000159,2023-07-01,2023-09-30,1
KH000160,2023-07-01,2023-09-30,0
KH000161,2023-07-01,2023-09-30,1
KH000162,2023-07-01,2023-09-30,1
KH000163,2023-07-01,2023-09-30,1
KH000164,2023-07-01,2023-09-30,0
KH000165,2023-07-01,2023-09-30,1
KH000166,2023-07-01,2023-09-30,1
KH000167,2023-07-01,2023-09-30,1
KH000168,2023-07-01,2023-09-30,1
KH000169,2023-07-01,2023-09-30,0
KH000170,2023-07-01,2023-09-30,1
KH000171,2023-07-01,2023-09-30,1
KH000172,2023-07-01,2023-09-30,1
KH000173,2023-07-01,2023-09-30,0
KH000174,2023-07-01,2023-09-30,0
KH000175,2023-07-01,2023-09-30,1
KH000176,2023-07-01,2023-09-30,1
KH000177,2023-07-01,2023-09-30,1
KH000178,2023-07-01,2023-09-30,1
KH000179,2023-07-01,2023-09-30,1
KH000180,2023-07-01,2023-09-30,0
KH000181,2023-07-01,2023-09-30,1
KH000182,2023-07-01,2023-09-30,1
KH000183,2023-07-01,2023-09-30,1
KH000184,2023-07-01,2023-09-30,0
KH000185,2023-07-01,2023-09-30,1
KH000186,2023-07-01,2023-09-30,1
KH000187,2023-07-01,2023-09-30,0
KH000188,2023-07-01,2023-09-30,1
KH000189,2023-07-01,2023-09-30,1
KH000190,2023-07-01,2023-09-30,1
KH000191,2023-07-01,2023-09-30,1
KH000192,2023-07-01,2023-09-30,1
KH000193,2023-07-01,2023-09-30,0
KH000194,2023-07-01,2023-09-30,1
KH000195,2023-07-01,2023-09-30,1
KH000196,2023-07-01,2023-09-30,1
KH000197,2023-07-01,2023-09-30,1
KH000198,2023-07-01,2023-09-30,1
KH000199,2023-07-01,2023-09-30,1
KH000200,2023-07-01,2023-09-30,1
KH000201,2023-07-01,2023-09-30,1
KH000202,2023-07-01,2023-09-30,1
KH000203,2023-07-01,2023-09-30,1
KH000204,2023-07-01,2023-09-30,1
KH000205,2023-07-01,2023-09-30,0
KH000206,2023-07-01,2023-09-30,1
KH000207,2023-07-01,2023-09-30,1
KH000208,2023-07-01,2023-09-30,1
KH000209,2023-07-01,2023-09-30,1
KH000210,2023-07-01,2023-09-30,0
KH000211,2023-07-01,2023-09-30,1
KH000212,2023-07-01,2023-09-30,1
KH000213,2023-07-01,2023-09-30,1
KH000214,2023-07-01,2023-09-30,0
KH000215,2023-07-01,2023-09-30,1
KH000216,2023-07-01,2023-09-30,0
KH000217,2023-07-01,2023-09-30,0
KH000218,2023-07-01,2023-09-30,1
KH000219,2023-07-01,2023-09-30,1
KH000220,2023-07-01,2023-09-30,1
KH000221,2023-07-01,2023-09-30,1
