,customer_id,observation_date,label,propensity_score
0,KH010628,2023-12-31,1,0.9955
1,KH012807,2023-12-31,1,0.9954
2,KH010483,2023-12-31,1,0.9951
3,KH012502,2023-12-31,1,0.9951
4,KH012410,2023-12-31,1,0.9951
5,KH011833,2023-12-31,1,0.995
6,KH012964,2023-12-31,1,0.995
7,KH011667,2023-12-31,1,0.995
8,KH010402,2023-12-31,1,0.995
9,KH010152,2023-12-31,1,0.9949
10,KH011634,2023-12-31,1,0.9949
11,KH012847,2023-12-31,1,0.9949
12,KH012344,2023-12-31,1,0.9948
13,KH010184,2023-12-31,1,0.9948
14,KH011107,2023-12-31,1,0.9948
15,KH010231,2023-12-31,1,0.9948
16,KH010081,2023-12-31,1,0.9946
17,KH011927,2023-12-31,1,0.9945
18,KH011805,2023-12-31,1,0.9945
19,KH012477,2023-12-31,1,0.9944
20,KH011580,2023-12-31,1,0.9944
21,KH010985,2023-12-31,1,0.9944
22,KH010245,2023-12-31,1,0.9944
23,KH011097,2023-12-31,1,0.9944
24,KH012170,2023-12-31,1,0.9943
25,KH010618,2023-12-31,1,0.9943
26,KH010051,2023-12-31,1,0.9942
27,KH012962,2023-12-31,1,0.9942
28,KH010528,2023-12-31,1,0.9942
29,KH010810,2023-12-31,1,0.9942
30,KH010770,2023-12-31,1,0.9942
31,KH010325,2023-12-31,1,0.9942
32,KH012076,2023-12-31,1,0.9942
33,KH012230,2023-12-31,1,0.9941
34,KH011518,2023-12-31,1,0.9941
35,KH010206,2023-12-31,1,0.9941
36,KH012353,2023-12-31,1,0.9941
37,KH011799,2023-12-31,1,0.994
38,KH012303,2023-12-31,1,0.994
39,KH012696,2023-12-31,1,0.994
40,KH012130,2023-12-31,1,0.994
41,KH010901,2023-12-31,1,0.9939
42,KH012922,2023-12-31,1,0.9939
43,KH010576,2023-12-31,1,0.9939
44,KH011530,2023-12-31,1,0.9939
45,KH012219,2023-12-31,1,0.9939
46,KH010432,2023-12-31,1,0.9939
47,KH010485,2023-12-31,1,0.9939
48,KH012102,2023-12-31,1,0.9938
49,KH011960,2023-12-31,1,0.9938
50,KH011161,2023-12-31,1,0.9937
51,KH012084,2023-12-31,1,0.9937
52,KH011441,2023-12-31,1,0.9937
53,KH012507,2023-12-31,1,0.9937
54,KH010389,2023-12-31,1,0.9937
55,KH010059,2023-12-31,1,0.9936
56,KH010763,2023-12-31,1,0.9934
57,KH011020,2023-12-31,1,0.9934
58,KH011309,2023-12-31,1,0.9934
59,KH011929,2023-12-31,1,0.9933
60,KH012935,2023-12-31,1,0.9933
